id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
6048,Lewis Dunk,8,720,0,0.0881021786481142,2,0.47202862799167633,2,2,4,0,D,Brighton,0,0.0881021786481142,2.5357180759310722,2.4583458993583918
6049,Solly March,5,431,0,0.22312448546290398,1,0.9052177481353283,5,7,0,0,F M,Brighton,0,0.22312448546290398,1.9889507740736008,1.019658014178276
6050,Davy Pröpper,6,540,0,0.9377393964678049,1,0.7847111951559782,8,7,0,0,M,Brighton,0,0.9377393964678049,3.2960034757852554,1.9825675636529922
6051,Dale Stephens,8,711,0,0.16617443412542343,0,0.1137850470840931,8,3,1,0,M,Brighton,0,0.16617443412542343,2.913388840854168,2.825620897114277
6054,Ederson,8,720,0,0,0,0,0,0,2,0,GK,Manchester City,0,0,2.4398775808513165,2.4398775808513165
6055,Phil Foden,1,9,0,0,0,0,0,0,0,0,S,Manchester City,0,0,0,0
6062,Isaac Hayden,7,582,0,0.13032490760087967,1,1.250675082206726,6,4,1,1,M,Newcastle United,0,0.13032490760087967,1.5275886580348015,0.1620234241709113
6080,Victor Lindelöf,7,630,0,0,0,0.29524232260882854,0,2,1,0,D,Manchester United,0,0,1.3589958772063255,1.3589958772063255
6105,Gaëtan Bong,4,53,0,0,0,0.11898884922266006,0,2,0,0,S,Brighton,0,0,0.15665270946919918,0.03766385931521654
6249,Davinson Sánchez,4,360,0,0.5040512084960938,0,0.03628891706466675,2,1,1,0,D,Tottenham,0,0.5040512084960938,0.5629503838717937,0.526661466807127
6382,Pedro Neto,5,114,0,0.06651783734560013,1,0.9038633108139038,1,2,1,0,M S,Wolverhampton Wanderers,0,0.06651783734560013,1.4666111264377832,1.2562687192112207
6418,Hamza Choudhury,8,314,0,0.1314941830933094,1,0.08810355141758919,3,3,1,0,M S,Leicester,0,0.1314941830933094,0.814150795340538,0.7471638657152653
6456,Callum Hudson-Odoi,2,108,0,0.46834897994995117,2,0.298747718334198,2,4,0,0,M S,Chelsea,0,0.46834897994995117,0.8301937729120255,0.06309706717729568
6477,Cenk Tosun,1,33,0,0.06720712780952454,0,0.012496705166995525,1,1,0,0,S,Everton,0,0.06720712780952454,0.07970383018255234,0
6492,Reiss Nelson,4,151,0,0.3481733649969101,0,0.05305315554141998,4,3,1,0,M S,Arsenal,0,0.3481733649969101,0.5596851855516434,0.19625121355056763
6504,Michael Obafemi,3,40,0,0,0,0,0,0,0,0,S,Southampton,0,0,0,0
